odd_residue_mod_2^k,phi,v2(3r+1),succ_residue,check_w_blur+delta+phi(succ)-phi(res)
695,2.560455768409,1,1043,-0.000001000000
697,2.560455768409,2,523,-0.000001000000
699,-2.409485980321,1,1049,-0.000001000000
701,-0.902157371895,3,263,-0.000001000000
703,9.407074392476,1,1055,-0.000001000000
705,-4.894456854686,2,529,-0.000001000000
707,2.560455768409,1,1061,-0.000001000000
709,-4.894456854686,4,133,-0.000001000000
711,-2.409485980321,1,1067,-0.000001000000
713,-5.342412778137,2,535,-0.000001000000
715,-5.342412778137,1,1073,-0.000001000000
717,-4.894456854686,3,269,-0.000001000000
719,-3.387128246260,1,1079,-0.000001000000
721,-3.916814588747,2,541,-0.000001000000
723,-3.916814588747,1,1085,-0.000001000000
725,-5.872099120624,7,17,-0.000001000000
727,-3.916814588747,1,1091,-0.000001000000
729,-4.894456854686,2,547,-0.000001000000
731,3.538098034348,1,1097,-0.000001000000
733,0.075484894044,3,275,-0.000001000000
735,-3.916814588747,1,1103,-0.000001000000
737,3.538098034348,2,553,-0.000001000000
739,-5.872099120624,1,1109,-0.000001000000
741,-3.916814588747,4,139,-0.000001000000
743,0.075484894044,1,1115,-0.000001000000
745,-0.454201448443,2,559,-0.000001000000
747,-3.916814588747,1,1121,-0.000001000000
749,-3.916814588747,3,281,-0.000001000000
751,3.538098034348,1,1127,-0.000001000000
753,-5.872099120624,2,565,-0.000001000000
755,-2.409485980321,1,1133,-0.000001000000
757,1.053127159983,5,71,-0.000001000000
759,-2.939172322808,1,1139,-0.000001000000
761,-4.894456854686,2,571,-0.000001000000
763,4.515740300286,1,1145,-0.000001000000
765,-3.916814588747,3,287,-0.000001000000
767,-1.144225866507,1,1151,-0.000001000000
769,-4.894456854686,2,577,-0.000001000000
771,-4.894456854686,1,1157,-0.000001000000
773,2.030769425922,4,145,-0.000001000000
775,4.515740300286,1,1163,-0.000001000000
777,-4.894456854686,2,583,-0.000001000000
779,-2.939172322808,1,1169,-0.000001000000
781,2.030769425922,3,293,-0.000001000000
783,2.030769425922,1,1175,-0.000001000000
785,2.030769425922,2,589,-0.000001000000
787,-2.939172322808,1,1181,-0.000001000000
789,-5.424143197173,6,37,-0.000001000000
791,-1.431843714382,1,1187,-0.000001000000
793,-1.431843714382,2,595,-0.000001000000
795,1.013823331713,1,1193,-0.000001000000
797,2.030769425922,3,299,-0.000001000000
799,-1.961530056870,1,1199,-0.000001000000
801,-2.939172322808,2,601,-0.000001000000
803,-5.872099120624,1,1205,-0.000001000000
805,-5.872099120624,4,151,-0.000001000000
807,-0.166583600569,1,1211,-0.000001000000
809,-3.916814588747,2,607,-0.000001000000
811,3.008411691860,1,1217,-0.000001000000
813,-4.446500931235,3,305,-0.000001000000
